2024-09-16 13:21:25 DEBUG config.ConfigKt - Cargando configuración DataBaseManager
2024-09-16 13:21:25 DEBUG config.ConfigKt - Configuración cargada correctamente
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Inicializando el gestor de Bases de Datos con SQLDelight
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Borrando tablas si existen
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Creando tablas
2024-09-16 13:21:25 DEBUG t.servicies.TenistasServiceImplKt - Cargando tenistas desde CSV
2024-09-16 13:21:25 DEBUG t.storage.TenistaStorageCSVKt - Carganado tenistas desde fichero Csv
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=18, nombre=Félix Auger-Aliassime, pais=Canadá, altura=193, peso=88, puntos=2650, mano=DIESTRO, fechaNacimiento=2000-08-08, created_at=2024-09-16T13:21:25.8994575, updated_at=2024-09-16T13:21:25.8994575)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=19, nombre=Alex de Minaur, pais=Australia, altura=183, peso=69, puntos=2585, mano=DIESTRO, fechaNacimiento=1999-02-17, created_at=2024-09-16T13:21:25.8994575, updated_at=2024-09-16T13:21:25.8994575)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=20, nombre=Gael Monfils, pais=Francia, altura=193, peso=85, puntos=2540, mano=DIESTRO, fechaNacimiento=1986-09-01, created_at=2024-09-16T13:21:25.8994575, updated_at=2024-09-16T13:21:25.8994575)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=21, nombre=Hubert Hurkacz, pais=Polonia, altura=196, peso=81, puntos=2480, mano=DIESTRO, fechaNacimiento=1997-02-11, created_at=2024-09-16T13:21:25.8994575, updated_at=2024-09-16T13:21:25.8994575)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=22, nombre=Daniel Evans, pais=Reino Unido, altura=175, peso=75, puntos=2405, mano=DIESTRO, fechaNacimiento=1990-05-23, created_at=2024-09-16T13:21:25.9005070, updated_at=2024-09-16T13:21:25.9005070)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=23, nombre=Aslan Karatsev, pais=Rusia, altura=185, peso=85, puntos=2350, mano=DIESTRO, fechaNacimiento=1993-09-04, created_at=2024-09-16T13:21:25.9005070, updated_at=2024-09-16T13:21:25.9005070)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=24, nombre=Jannik Sinner, pais=Italia, altura=188, peso=76, puntos=2300, mano=DIESTRO, fechaNacimiento=2001-08-16, created_at=2024-09-16T13:21:25.9005070, updated_at=2024-09-16T13:21:25.9005070)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=25, nombre=Fabio Fognini, pais=Italia, altura=178, peso=74, puntos=2250, mano=DIESTRO, fechaNacimiento=1987-05-24, created_at=2024-09-16T13:21:25.9005070, updated_at=2024-09-16T13:21:25.9005070)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=26, nombre=Carlos Alcaraz, pais=España, altura=185, peso=72, puntos=5680, mano=DIESTRO, fechaNacimiento=2003-05-05, created_at=2024-09-16T13:21:25.9005070, updated_at=2024-09-16T13:21:25.9005070)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=27, nombre=John Isner, pais=Estados Unidos, altura=208, peso=108, puntos=2150, mano=DIESTRO, fechaNacimiento=1985-04-26, created_at=2024-09-16T13:21:25.9005070, updated_at=2024-09-16T13:21:25.9005070)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=28, nombre=Reilly Opelka, pais=Estados Unidos, altura=211, peso=102, puntos=2100, mano=DIESTRO, fechaNacimiento=1997-08-28, created_at=2024-09-16T13:21:25.9005070, updated_at=2024-09-16T13:21:25.9005070)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=29, nombre=Kei Nishikori, pais=Japón, altura=178, peso=75, puntos=2050, mano=DIESTRO, fechaNacimiento=1989-12-29, created_at=2024-09-16T13:21:25.9015308, updated_at=2024-09-16T13:21:25.9015308)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=30, nombre=Marin Cilic, pais=Croacia, altura=198, peso=89, puntos=2000, mano=DIESTRO, fechaNacimiento=1988-09-28, created_at=2024-09-16T13:21:25.9015308, updated_at=2024-09-16T13:21:25.9015308)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=31, nombre=Albert Ramos Viñolas, pais=España, altura=188, peso=80, puntos=1950, mano=ZURDO, fechaNacimiento=1988-01-17, created_at=2024-09-16T13:21:25.9015308, updated_at=2024-09-16T13:21:25.9015308)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=32, nombre=Adrian Mannarino, pais=Francia, altura=180, peso=79, puntos=1900, mano=ZURDO, fechaNacimiento=1988-06-29, created_at=2024-09-16T13:21:25.9015308, updated_at=2024-09-16T13:21:25.9015308)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=33, nombre=Nikoloz Basilashvili, pais=Georgia, altura=185, peso=79, puntos=1850, mano=DIESTRO, fechaNacimiento=1992-02-23, created_at=2024-09-16T13:21:25.9015308, updated_at=2024-09-16T13:21:25.9015308)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=34, nombre=Filip Krajinovic, pais=Serbia, altura=185, peso=75, puntos=1800, mano=DIESTRO, fechaNacimiento=1992-02-27, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=35, nombre=Lorenzo Sonego, pais=Italia, altura=191, peso=76, puntos=1750, mano=DIESTRO, fechaNacimiento=1995-05-11, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=36, nombre=Jan-Lennard Struff, pais=Alemania, altura=193, peso=92, puntos=1700, mano=DIESTRO, fechaNacimiento=1990-04-25, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=37, nombre=Marton Fucsovics, pais=Hungría, altura=188, peso=82, puntos=1650, mano=DIESTRO, fechaNacimiento=1992-02-08, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=38, nombre=Alexander Bublik, pais=Kazajistán, altura=196, peso=82, puntos=1600, mano=DIESTRO, fechaNacimiento=1997-06-17, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=39, nombre=Laslo Djere, pais=Serbia, altura=188, peso=82, puntos=1550, mano=DIESTRO, fechaNacimiento=1995-06-02, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=40, nombre=Jordan Thompson, pais=Australia, altura=183, peso=82, puntos=1500, mano=DIESTRO, fechaNacimiento=1994-04-20, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=41, nombre=Benoit Paire, pais=Francia, altura=196, peso=81, puntos=1450, mano=DIESTRO, fechaNacimiento=1989-05-08, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=42, nombre=Frances Tiafoe, pais=Estados Unidos, altura=188, peso=75, puntos=1400, mano=DIESTRO, fechaNacimiento=1998-01-20, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=43, nombre=Richard Gasquet, pais=Francia, altura=183, peso=75, puntos=1350, mano=DIESTRO, fechaNacimiento=1986-06-18, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=44, nombre=Taylor Fritz, pais=Estados Unidos, altura=193, peso=86, puntos=1300, mano=DIESTRO, fechaNacimiento=1997-10-28, created_at=2024-09-16T13:21:25.9029027, updated_at=2024-09-16T13:21:25.9029027)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=45, nombre=Jo-Wilfried Tsonga, pais=Francia, altura=188, peso=91, puntos=1250, mano=DIESTRO, fechaNacimiento=1985-04-17, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=46, nombre=Fernando Verdasco, pais=España, altura=188, peso=88, puntos=1200, mano=ZURDO, fechaNacimiento=1983-11-15, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
